region,country_code,type,parent_code,1950-1955,1955-1960,1960-1965,1965-1970,1970-1975,1975-1980,1980-1985,1985-1990,1990-1995,1995-2000,2000-2005,2005-2010,2010-2015,2015-2020
Venezuela (Bolivarian Republic of),862,Country/Area,931,6.46,6.46,6.18,5.7,4.94,4.47,3.96,3.65,3.25,2.94,2.72,2.55,2.4,2.28
AUSTRALIA/NEW ZEALAND,927,SDG region,1828,3.27,3.53,3.38,2.96,2.59,2.02,1.92,1.89,1.9,1.82,1.8,1.98,1.91,1.84
Australia,36,Country/Area,927,3.18,3.41,3.27,2.87,2.54,1.99,1.91,1.86,1.86,1.79,1.77,1.95,1.89,1.83
New Zealand,554,Country/Area,927,3.69,4.07,3.85,3.35,2.84,2.18,1.97,2.03,2.07,1.95,1.95,2.14,2.04,1.9
OCEANIA (EXCLUDING AUSTRALIA AND NEW ZEALAND),1835,SDG region,1828,6.34,6.39,6.31,6.06,5.79,5.5,5.12,4.68,4.41,4.28,4.05,3.85,3.65,3.46
Melanesia,928,Subregion,1835,6.3,6.34,6.24,6.04,5.83,5.58,5.2,4.75,4.51,4.41,4.17,3.95,3.73,3.53
Fiji,242,Country/Area,928,6.63,6.79,5.95,5,4.2,4,3.8,3.47,3.35,3.19,2.98,2.75,2.79,2.79
New Caledonia,540,Country/Area,928,5.22,5.22,5.22,5.21,5.2,3.91,3.34,3.12,2.92,2.59,2.32,2.28,2.18,1.97
Papua New Guinea,598,Country/Area,928,6.24,6.26,6.28,6.21,6.09,5.87,5.47,4.97,4.7,4.64,4.39,4.13,3.84,3.59
Solomon Islands,90,Country/Area,928,6.4,6.4,6.4,6.54,7.24,7.04,6.43,6.13,5.53,4.91,4.6,4.4,4.44,4.44
Vanuatu,548,Country/Area,928,7.6,7.35,7,6.46,6.11,5.75,5.4,5.04,4.83,4.59,4.4,4.2,4,3.8
Micronesia,954,Subregion,1835,6.25,6.43,6.46,5.85,5.3,4.84,4.45,4.09,3.72,3.44,3.13,3.13,3.02,2.86
Guam,316,Country/Area,954,5.53,5.83,6.03,4.72,4.12,3.52,3.08,3.14,2.88,2.88,2.74,2.54,2.45,2.32
Kiribati,296,Country/Area,954,6.1,6.6,6.78,6.04,5,5.1,5,4.8,4.55,4.2,3.96,3.88,3.79,3.58
Micronesia (Fed. States of),583,Country/Area,954,7.2,7,6.9,6.9,6.9,6.4,6,5.2,4.79,4.53,4.05,3.62,3.33,3.08
Polynesia,957,Subregion,1835,6.78,6.87,6.82,6.4,5.76,5.23,4.81,4.37,3.97,3.55,3.33,3.17,2.94,2.76
French Polynesia,258,Country/Area,957,6,5.86,5.44,5.2,4.86,4.23,3.82,3.64,3.11,2.61,2.36,2.17,2.04,1.95
Samoa,882,Country/Area,957,7.63,7.63,7.63,7.35,7,6.49,5.91,5.35,4.92,4.62,4.44,4.47,4.16,3.9
Tonga,776,Country/Area,957,7.3,7.3,7.3,6.5,5.5,5.5,5.5,4.74,4.62,4.29,4.23,4.03,3.79,3.58
EUROPE AND NORTHERN AMERICA,1829,SDG region,1828,2.8,2.87,2.74,2.42,2.14,1.92,1.85,1.83,1.7,1.58,1.6,1.7,1.68,1.66
EUROPE,917,SDG subregion,1829,2.66,2.66,2.57,2.37,2.17,1.98,1.88,1.81,1.57,1.43,1.43,1.56,1.6,1.61
Eastern Europe,923,Subregion,917,2.92,2.82,2.43,2.15,2.14,2.07,2.08,2.1,1.63,1.29,1.26,1.43,1.57,1.66
Belarus,112,Country/Area,923,2.61,2.73,2.59,2.28,2.25,2.09,2.09,2.08,1.68,1.31,1.26,1.44,1.65,1.71
Bulgaria,100,Country/Area,923,2.53,2.3,2.22,2.13,2.16,2.19,2.01,1.95,1.55,1.2,1.25,1.52,1.52,1.56
Czechia,203,Country/Area,923,2.74,2.38,2.21,1.96,2.21,2.36,1.97,1.9,1.65,1.17,1.19,1.43,1.48,1.64
Hungary,348,Country/Area,923,2.69,2.32,1.81,1.98,2.04,2.25,1.81,1.82,1.74,1.38,1.3,1.33,1.33,1.49
Poland,616,Country/Area,923,3.63,3.47,2.72,2.33,2.23,2.23,2.31,2.16,1.95,1.51,1.26,1.37,1.33,1.42
Republic of Moldova,498,Country/Area,923,3.5,3.44,3.15,2.66,2.56,2.44,2.55,2.64,2.11,1.7,1.24,1.27,1.28,1.26
Romania,642,Country/Area,923,3.06,2.74,2.1,2.87,2.65,2.55,2.22,2.27,1.51,1.32,1.29,1.51,1.51,1.62
Russian Federation,643,Country/Area,923,2.85,2.82,2.55,2.02,2.03,1.94,2.04,2.12,1.55,1.25,1.3,1.46,1.7,1.82
Slovakia,703,Country/Area,923,3.5,3.24,2.91,2.54,2.51,2.46,2.27,2.15,1.87,1.4,1.22,1.32,1.38,1.5
Ukraine,804,Country/Area,923,2.81,2.7,2.13,2.02,2.08,1.98,2,1.95,1.62,1.24,1.15,1.38,1.49,1.44
Northern Europe,924,Subregion,917,2.32,2.51,2.71,2.49,2.06,1.8,1.8,1.85,1.8,1.7,1.66,1.85,1.84,1.75
Channel Islands,830,Country/Area,924,2.06,2.22,2.56,2.36,1.86,1.52,1.44,1.45,1.52,1.58,1.47,1.56,1.58,1.5
Denmark,208,Country/Area,924,2.55,2.55,2.58,2.27,1.96,1.68,1.43,1.54,1.75,1.76,1.76,1.85,1.73,1.76
Estonia,233,Country/Area,924,2.06,1.99,1.94,2.02,2.15,2.06,2.09,2.2,1.63,1.33,1.39,1.66,1.59,1.59
Finland,246,Country/Area,924,3,2.77,2.66,2.19,1.62,1.66,1.69,1.66,1.82,1.74,1.75,1.84,1.77,1.53
Iceland,352,Country/Area,924,3.86,4.17,3.94,3.24,2.87,2.45,2.23,2.12,2.19,2.06,1.99,2.13,1.98,1.77
Ireland,372,Country/Area,924,3.42,3.58,4.01,3.86,3.73,3.25,2.83,2.26,1.96,1.9,1.93,2,1.97,1.84
Latvia,428,Country/Area,924,2,1.95,1.88,1.84,2,1.89,2.03,2.16,1.63,1.17,1.29,1.49,1.5,1.72
Lithuania,440,Country/Area,924,2.84,2.66,2.43,2.3,2.3,2.1,2.04,2.06,1.82,1.47,1.28,1.42,1.59,1.67
Norway,578,Country/Area,924,2.6,2.84,2.9,2.8,2.35,1.81,1.69,1.8,1.89,1.86,1.81,1.92,1.82,1.68
Sweden,752,Country/Area,924,2.24,2.25,2.31,2.17,1.91,1.66,1.64,1.91,2.01,1.56,1.67,1.89,1.9,1.85
United Kingdom,826,Country/Area,924,2.18,2.49,2.81,2.57,2.01,1.73,1.78,1.84,1.78,1.74,1.66,1.86,1.87,1.75
Southern Europe,925,Subregion,917,2.68,2.62,2.7,2.68,2.56,2.24,1.83,1.56,1.41,1.34,1.37,1.47,1.4,1.37
Albania,8,Country/Area,925,6.23,6.55,6.23,5.26,4.6,3.9,3.41,3.15,2.79,2.38,1.95,1.64,1.71,1.62
Bosnia and Herzegovina,70,Country/Area,925,4.82,3.97,3.68,3.14,2.73,2.27,2.02,1.86,1.7,1.68,1.32,1.31,1.31,1.27
Croatia,191,Country/Area,925,2.73,2.38,2.22,2,1.98,1.9,1.87,1.72,1.52,1.62,1.41,1.52,1.49,1.45
Greece,300,Country/Area,925,2.48,2.42,2.29,2.55,2.53,2.42,2.06,1.53,1.38,1.31,1.29,1.42,1.34,1.3
Italy,380,Country/Area,925,2.36,2.29,2.5,2.5,2.32,1.89,1.52,1.35,1.27,1.22,1.31,1.44,1.42,1.33
Malta,470,Country/Area,925,4.15,3.8,3.15,2.12,2.01,2.12,1.97,2.03,2.01,1.85,1.47,1.39,1.4,1.45
Montenegro,499,Country/Area,925,4.35,3.8,3.42,2.89,2.62,2.31,2.21,2.11,2.05,1.91,1.85,1.82,1.71,1.75
North Macedonia,807,Country/Area,925,5.06,4.14,3.65,3.44,2.86,2.54,2.45,2.27,2.12,1.83,1.64,1.46,1.5,1.5
Portugal,620,Country/Area,925,3.1,3.12,3.19,3.12,2.83,2.55,2.01,1.62,1.48,1.46,1.45,1.37,1.28,1.29
Serbia,688,Country/Area,925,3.22,2.57,2.51,2.43,2.36,2.37,2.32,2.23,1.96,1.83,1.71,1.58,1.46,1.46
Slovenia,705,Country/Area,925,2.68,2.38,2.34,2.27,2.2,2.16,1.93,1.65,1.33,1.25,1.21,1.44,1.58,1.6
Spain,724,Country/Area,925,2.53,2.7,2.81,2.84,2.85,2.55,1.88,1.46,1.28,1.19,1.28,1.45,1.33,1.33
Western Europe,926,Subregion,917,2.39,2.49,2.65,2.47,1.96,1.65,1.62,1.57,1.49,1.52,1.58,1.64,1.67,1.68
Austria,40,Country/Area,926,2.1,2.57,2.78,2.57,2.04,1.65,1.6,1.45,1.48,1.39,1.38,1.4,1.45,1.53
Belgium,56,Country/Area,926,2.37,2.5,2.65,2.39,2.01,1.7,1.6,1.56,1.61,1.6,1.68,1.82,1.78,1.71
France,250,Country/Area,926,2.76,2.7,2.85,2.65,2.31,1.86,1.86,1.8,1.71,1.76,1.88,1.98,1.98,1.85
Germany,276,Country/Area,926,2.13,2.27,2.47,2.36,1.71,1.51,1.46,1.43,1.3,1.35,1.35,1.36,1.43,1.59
Luxembourg,442,Country/Area,926,1.98,2.23,2.4,2.19,1.72,1.49,1.47,1.47,1.66,1.72,1.65,1.62,1.55,1.45
Netherlands,528,Country/Area,926,3.05,3.1,3.17,2.79,2.1,1.6,1.51,1.55,1.59,1.6,1.74,1.75,1.73,1.66
Switzerland,756,Country/Area,926,2.31,2.39,2.6,2.36,1.87,1.54,1.54,1.55,1.54,1.48,1.41,1.47,1.53,1.54
NORTHERN AMERICA,918,SDG subregion,1829,3.34,3.61,3.28,2.55,2.02,1.77,1.79,1.88,2,1.95,1.99,2.01,1.85,1.75
Canada,124,Country/Area,918,3.65,3.88,3.68,2.61,1.98,1.73,1.63,1.62,1.69,1.56,1.52,1.64,1.6,1.53
United States of America,840,Country/Area,918,3.31,3.58,3.23,2.54,2.03,1.77,1.8,1.91,2.03,2,2.04,2.06,1.88,1.78
