region,country_code,type,parent_code,1950-1955,1955-1960,1960-1965,1965-1970,1970-1975,1975-1980,1980-1985,1985-1990,1990-1995,1995-2000,2000-2005,2005-2010,2010-2015,2015-2020
Cyprus,196,Country/Area,922,3.71,3.5,3.44,2.8,2.49,2.29,2.45,2.43,2.33,1.89,1.59,1.48,1.38,1.34
Georgia,268,Country/Area,922,2.75,2.91,2.93,2.8,2.6,2.39,2.27,2.26,2.05,1.72,1.58,1.8,2,2.06
Iraq,368,Country/Area,922,7.3,6.2,6.6,7.4,7.15,6.8,6.35,6.09,5.65,5.19,4.71,4.4,4.25,3.68
Israel,376,Country/Area,922,4.28,3.89,3.85,3.78,3.81,3.47,3.13,3.07,2.93,2.93,2.91,2.93,3.04,3.04
Jordan,400,Country/Area,922,7.38,7.38,8,8,7.79,7.38,7.05,6.02,5.06,4.3,4,3.8,3.4,2.77
Kuwait,414,Country/Area,922,7.2,7.2,7.3,7.4,6.75,5.6,5,3.65,2.55,3,2.6,2.4,2.1,2.1
Lebanon,422,Country/Area,922,5.74,5.72,5.69,5.23,4.67,4.23,3.75,3.5,3.2,2.65,2.2,1.9,2.08,2.09
Oman,512,Country/Area,922,7.25,7.25,7.25,7.31,7.41,8.1,8.32,7.85,6.27,4.46,3.2,2.9,2.9,2.93
Qatar,634,Country/Area,922,6.97,6.97,6.97,6.97,6.75,6.1,5.45,4.4,3.74,3.46,2.95,2.23,2,1.88
Saudi Arabia,682,Country/Area,922,7.18,7.18,7.26,7.26,7.3,7.28,7.02,6.22,5.55,4.4,3.65,3.23,2.73,2.34
State of Palestine,275,Country/Area,922,7.38,7.38,8,8,7.69,7.5,7.05,6.76,6.6,5.81,5.02,4.6,4.25,3.67
Syrian Arab Republic,760,Country/Area,922,7.23,7.38,7.54,7.56,7.54,7.32,6.77,5.87,4.8,4.3,3.9,3.7,3.1,2.84
Turkey,792,Country/Area,922,6.69,6.5,6.2,5.8,5.39,4.69,4.11,3.39,2.9,2.65,2.37,2.2,2.12,2.08
United Arab Emirates,784,Country/Area,922,6.97,6.97,6.87,6.77,6.45,5.75,5.3,4.9,3.93,2.97,2.4,1.97,1.7,1.42
Yemen,887,Country/Area,922,7.8,7.9,8,8.25,8.5,8.6,8.8,8.8,8.2,6.8,5.9,5,4.4,3.84
CENTRAL AND SOUTHERN ASIA,921,SDG region,1828,6,6.03,6.05,5.9,5.64,5.27,4.98,4.54,4.03,3.6,3.21,2.87,2.54,2.41
Central Asia,5500,Subregion,921,4.86,5.32,5.57,5.16,5.03,4.51,4.14,4,3.58,2.89,2.53,2.67,2.76,2.75
Kazakhstan,398,Country/Area,5500,4.41,4.56,4.43,3.67,3.61,3.23,3.04,3.03,2.55,2,2.01,2.54,2.67,2.76
Kyrgyzstan,417,Country/Area,5500,4.36,5.2,5.55,5.21,5.12,4.59,4.2,4.06,3.64,2.96,2.5,2.78,3.3,3
Tajikistan,762,Country/Area,5500,5.4,6.2,6.8,7,6.83,5.9,5.6,5.5,4.88,4.29,3.72,3.61,3.61,3.61
Turkmenistan,795,Country/Area,5500,5.3,6.2,6.8,6.56,6.19,5.6,4.79,4.55,4.03,3.03,2.76,2.65,3,2.79
Uzbekistan,860,Country/Area,5500,5.3,5.9,6.5,6.4,6.16,5.46,4.8,4.4,3.95,3.1,2.51,2.49,2.43,2.43
Southern Asia,5501,Subregion,921,6.04,6.06,6.07,5.93,5.66,5.31,5.02,4.56,4.05,3.63,3.24,2.88,2.53,2.4
Afghanistan,4,Country/Area,5501,7.45,7.45,7.45,7.45,7.45,7.45,7.45,7.47,7.48,7.65,7.18,6.48,5.45,4.56
Bangladesh,50,Country/Area,5501,6.36,6.62,6.8,6.92,6.91,6.63,5.98,4.98,4.06,3.43,2.94,2.48,2.21,2.05
Bhutan,64,Country/Area,5501,6.67,6.67,6.6,6.6,6.6,6.6,6.35,5.9,5,4,3.1,2.55,2.12,2
India,356,Country/Area,5501,5.9,5.9,5.89,5.72,5.41,4.97,4.68,4.27,3.83,3.48,3.14,2.8,2.4,2.24
Iran (Islamic Republic of),364,Country/Area,5501,6.91,6.91,6.91,6.68,6.24,6.28,6.53,5.62,3.7,2.4,1.92,1.82,1.91,2.15
Maldives,462,Country/Area,5501,6.03,6.81,7.12,7.22,7.17,6.85,7.26,6.66,5.16,3.39,2.4,2.29,2.11,1.88
Nepal,524,Country/Area,5501,5.96,5.96,5.96,5.96,5.87,5.8,5.62,5.33,4.97,4.41,3.49,2.81,2.32,1.93
Pakistan,586,Country/Area,5501,6.6,6.6,6.6,6.6,6.6,6.6,6.44,6.3,5.96,5.37,4.71,4.17,3.78,3.55
Sri Lanka,144,Country/Area,5501,5.8,5.8,5.2,4.7,4,3.61,3.19,2.64,2.38,2.24,2.26,2.28,2.21,2.21
EASTERN AND SOUTH-EASTERN ASIA,1832,SDG region,1828,5.69,5.28,5.62,5.64,4.66,3.3,2.83,2.81,2.12,1.87,1.82,1.82,1.84,1.83
Eastern Asia,906,Subregion,1832,5.63,5.05,5.49,5.57,4.42,2.86,2.45,2.6,1.81,1.6,1.57,1.59,1.63,1.65
China,156,Country/Area,906,6.11,5.48,6.15,6.3,4.85,3.01,2.52,2.73,1.83,1.62,1.61,1.62,1.64,1.69
"China, Hong Kong SAR",344,Country/Area,906,4.44,4.72,5.05,3.65,3.01,2.23,1.72,1.36,1.26,1.06,0.95,1.04,1.2,1.33
"China, Macao SAR",446,Country/Area,906,4.39,4.81,4.41,2.74,1.79,1.41,2.06,2,1.41,1.12,0.85,0.98,1.19,1.2
"China, Taiwan Province of China",158,Country/Area,906,6.72,6.14,5.41,4.38,3.33,2.74,2.23,1.77,1.76,1.67,1.33,1.05,1.11,1.15
Dem. People's Republic of Korea,408,Country/Area,906,3.46,5.12,3.85,4.39,4,2.85,2.8,2.36,2.25,2.01,2,1.95,1.93,1.91
Japan,392,Country/Area,906,2.96,2.17,2.03,2.04,2.13,1.83,1.76,1.65,1.48,1.37,1.3,1.34,1.41,1.37
Mongolia,496,Country/Area,906,5.6,6.3,7.5,7.5,7.5,6.65,5.75,4.84,3.27,2.4,2.08,2.4,2.84,2.9
Republic of Korea,410,Country/Area,906,5.65,6.33,5.6,4.65,4,2.92,2.23,1.57,1.68,1.5,1.21,1.17,1.23,1.11
South-Eastern Asia,920,Subregion,1832,5.93,6.12,6.09,5.92,5.49,4.81,4.2,3.57,3.11,2.69,2.53,2.42,2.34,2.22
Brunei Darussalam,96,Country/Area,920,6.9,6.89,6.66,5.9,5.49,4.45,3.79,3.47,3.08,2.51,2.22,1.88,2.02,1.85
Cambodia,116,Country/Area,920,6.95,6.95,6.95,6.7,6.16,5.42,6.37,5.99,5.13,4.25,3.44,3.08,2.7,2.52
Indonesia,360,Country/Area,920,5.49,5.67,5.62,5.57,5.3,4.73,4.11,3.4,2.9,2.55,2.53,2.5,2.45,2.32
Lao People's Democratic Republic,418,Country/Area,920,5.94,5.96,5.97,5.98,5.99,6.15,6.36,6.27,5.88,4.81,3.9,3.4,2.93,2.7
Malaysia,458,Country/Area,920,6.35,6.38,6.37,5.38,4.72,4.2,3.97,3.67,3.44,3.13,2.45,2.22,2.11,2.01
Myanmar,104,Country/Area,920,6,6,6.1,6.1,5.74,5.15,4.6,3.78,3.2,2.95,2.8,2.5,2.25,2.17
Philippines,608,Country/Area,920,7.42,7.27,6.98,6.54,5.98,5.46,4.92,4.53,4.14,3.9,3.7,3.3,3.05,2.58
Singapore,702,Country/Area,920,6.61,6.34,5.12,3.65,2.82,1.84,1.69,1.7,1.73,1.57,1.35,1.26,1.23,1.21
Thailand,764,Country/Area,920,6.14,6.14,6.13,5.99,5.05,3.92,2.95,2.3,1.99,1.77,1.6,1.56,1.53,1.53
Timor-Leste,626,Country/Area,920,6.55,6.4,6.2,5.8,5.5,5,5.5,5.4,5.6,5.8,6.25,5.3,4.4,4.1
