region,country_code,type,parent_code,1950-1955,1955-1960,1960-1965,1965-1970,1970-1975,1975-1980,1980-1985,1985-1990,1990-1995,1995-2000,2000-2005,2005-2010,2010-2015,2015-2020
Sudan,729,Country/Area,912,   135,   121,   111,   102,   93,   89,   87,   84,   80,   70,   62,   53,   48,   43
Tunisia,788,Country/Area,912,   232,   218,   195,   173,   140,   97,   66,   49,   35,   29,   23,   18,   15,   13
Western Sahara,732,Country/Area,912,   217,   201,   187,   173,   160,   134,   110,   88,   76,   64,   53,   43,   34,   29
Western Asia,922,Subregion,1833,   196,   175,   154,   134,   115,   93,   74,   58,   48,   37,   30,   23,   21,   18
Armenia,51,Country/Area,922,   83,   78,   73,   68,   63,   58,   53,   48,   44,   35,   27,   21,   13,   11
Azerbaijan,31,Country/Area,922,   120,   115,   110,   105,   100,   95,   90,   85,   82,   64,   54,   41,   31,   21
Bahrain,48,Country/Area,922,   172,   146,   105,   71,   47,   32,   23,   18,   15,   12,   10,   8,   7,   6
Cyprus,196,Country/Area,922,   65,   51,   40,   31,   25,   19,   15,   12,   9,   7,   6,   4,   4,   4
Georgia,268,Country/Area,922,   80,   73,   66,   59,   52,   49,   47,   44,   45,   35,   27,   18,   13,   9
Iraq,368,Country/Area,922,   225,   170,   129,   91,   73,   57,   51,   44,   38,   37,   34,   32,   28,   24
Israel,376,Country/Area,922,   39,   33,   28,   24,   21,   17,   14,   11,   8,   6,   5,   4,   3,   3
Jordan,400,Country/Area,922,   147,   120,   95,   77,   66,   54,   43,   34,   29,   26,   22,   20,   17,   15
Kuwait,414,Country/Area,922,   124,   102,   81,   59,   45,   34,   23,   17,   13,   12,   10,   10,   8,   7
Lebanon,422,Country/Area,922,   69,   60,   53,   47,   42,   38,   35,   30,   25,   19,   14,   11,   10,   9
Oman,512,Country/Area,922,   211,   180,   154,   131,   109,   83,   59,   42,   31,   22,   15,   10,   10,   7
Qatar,634,Country/Area,922,   106,   87,   69,   51,   44,   33,   27,   21,   15,   12,   10,   8,   7,   6
Saudi Arabia,682,Country/Area,922,   202,   180,   160,   137,   105,   80,   59,   43,   30,   22,   16,   12,   9,   6
State of Palestine,275,Country/Area,922,   141,   130,   117,   99,   83,   68,   52,   41,   33,   27,   24,   21,   19,   17
Syrian Arab Republic,760,Country/Area,922,   142,   123,   108,   90,   71,   55,   43,   33,   26,   21,   18,   15,   18,   16
Turkey,792,Country/Area,922,   217,   199,   178,   159,   145,   120,   95,   73,   56,   37,   25,   16,   12,   9
United Arab Emirates,784,Country/Area,922,   181,   149,   117,   87,   58,   37,   24,   17,   13,   10,   9,   8,   7,   6
Yemen,887,Country/Area,922,   288,   281,   271,   240,   198,   159,   121,   96,   84,   75,   62,   49,   43,   43
CENTRAL AND SOUTHERN ASIA,921,SDG region,1828,   189,   171,   156,   146,   137,   121,   106,   93,   83,   72,   61,   51,   42,   35
Central Asia,5500,Subregion,921,   124,   115,   106,   97,   88,   80,   73,   65,   62,   57,   47,   37,   26,   21
Kazakhstan,398,Country/Area,5500,   110,   102,   93,   85,   77,   69,   60,   52,   51,   44,   32,   24,   14,   8
Kyrgyzstan,417,Country/Area,5500,   139,   130,   120,   110,   100,   90,   80,   70,   60,   48,   38,   30,   20,   16
Tajikistan,762,Country/Area,5500,   141,   134,   125,   117,   106,   97,   93,   80,   84,   79,   57,   39,   34,   29
