region,country_code,type,parent_code,1950-1955,1955-1960,1960-1965,1965-1970,1970-1975,1975-1980,1980-1985,1985-1990,1990-1995,1995-2000,2000-2005,2005-2010,2010-2015,2015-2020
Trinidad and Tobago,780,Country/Area,915,   70,   60,   52,   46,   42,   37,   32,   30,   28,   29,   29,   28,   26,   22
United States Virgin Islands,850,Country/Area,915,   58,   47,   41,   35,   30,   25,   22,   18,   15,   13,   12,   11,   9,   8
Central America,916,Subregion,1830,   129,   111,   97,   87,   76,   64,   54,   44,   37,   28,   23,   20,   17,   15
Belize,84,Country/Area,916,   100,   88,   78,   69,   60,   50,   40,   35,   30,   23,   20,   17,   15,   13
Costa Rica,188,Country/Area,916,   103,   93,   82,   70,   56,   35,   23,   17,   15,   12,   11,   10,   9,   7
El Salvador,222,Country/Area,916,   143,   135,   122,   110,   101,   93,   80,   61,   41,   29,   24,   22,   18,   15
Guatemala,320,Country/Area,916,   168,   155,   141,   127,   112,   96,   82,   68,   55,   45,   37,   31,   27,   21
Honduras,340,Country/Area,916,   169,   154,   135,   119,   104,   81,   65,   53,   43,   35,   28,   23,   18,   15
Mexico,484,Country/Area,916,   121,   101,   88,   79,   69,   57,   47,   39,   33,   25,   20,   17,   15,   14
Nicaragua,558,Country/Area,916,   172,   151,   131,   114,   98,   90,   80,   65,   48,   34,   26,   23,   18,   17
Panama,591,Country/Area,916,   86,   74,   62,   52,   43,   36,   34,   30,   26,   23,   21,   18,   16,   14
South America,931,Subregion,1830,   126,   114,   103,   93,   82,   72,   61,   48,   38,   31,   25,   19,   15,   14
Argentina,32,Country/Area,931,   64,   59,   60,   57,   48,   39,   32,   27,   23,   20,   17,   14,   12,   10
Bolivia (Plurinational State of),68,Country/Area,931,   178,   170,   162,   152,   141,   128,   114,   99,   83,   66,   52,   42,   32,   30
Brazil,76,Country/Area,931,   136,   124,   112,   101,   92,   83,   72,   55,   43,   34,   28,   20,   16,   13
Chile,152,Country/Area,931,   123,   118,   107,   88,   67,   44,   25,   18,   14,   11,   8,   8,   7,   7
Colombia,170,Country/Area,931,   117,   100,   86,   75,   63,   50,   38,   31,   26,   22,   20,   17,   14,   13
Ecuador,218,Country/Area,931,   138,   128,   115,   102,   90,   77,   63,   51,   41,   31,   24,   19,   15,   14
French Guiana,254,Country/Area,931,   103,   89,   73,   51,   45,   42,   32,   25,   21,   17,   13,   11,   9,   9
Guyana,328,Country/Area,931,   72,   67,   62,   57,   56,   54,   52,   50,   45,   41,   35,   32,   32,   27
Paraguay,600,Country/Area,931,   73,   70,   62,   59,   57,   53,   47,   40,   34,   30,   27,   24,   21,   19
Peru,604,Country/Area,931,   159,   148,   133,   121,   104,   95,   80,   67,   50,   36,   25,   18,   14,   13
Suriname,740,Country/Area,931,   77,   67,   56,   54,   52,   50,   48,   44,   38,   33,   28,   24,   20,   17
Uruguay,858,Country/Area,931,   57,   53,   48,   47,   46,   42,   33,   23,   20,   16,   15,   11,   10,   9
Venezuela (Bolivarian Republic of),862,Country/Area,931,   101,   84,   69,   58,   46,   39,   32,   27,   23,   20,   17,   15,   15,   26
AUSTRALIA/NEW ZEALAND,927,SDG region,1828,   24,   22,   20,   18,   16,   13,   10,   9,   7,   6,   5,   5,   4,   3
Australia,36,Country/Area,927,   24,   21,   20,   18,   16,   12,   10,   9,   7,   5,   5,   4,   4,   3
New Zealand,554,Country/Area,927,   27,   24,   21,   18,   16,   14,   12,   10,   7,   6,   5,   5,   4,   4
OCEANIA (EXCLUDING AUSTRALIA AND NEW ZEALAND),1835,SDG region,1828,   141,   122,   107,   93,   81,   71,   62,   57,   53,   50,   49,   46,   41,   36
Melanesia,928,Subregion,1835,   148,   129,   112,   98,   85,   74,   66,   60,   56,   53,   51,   48,   43,   38
Fiji,242,Country/Area,928,   87,   66,   54,   47,   44,   39,   32,   26,   22,   20,   19,   20,   20,   20
New Caledonia,540,Country/Area,928,   117,   96,   79,   65,   54,   44,   36,   29,   24,   21,   17,   15,   13,   12
Papua New Guinea,598,Country/Area,928,   158,   141,   124,   108,   94,   82,   74,   68,   64,   61,   58,   54,   48,   42
Solomon Islands,90,Country/Area,928,   171,   140,   112,   88,   64,   48,   38,   33,   29,   26,   25,   23,   20,   15
Vanuatu,548,Country/Area,928,   122,   111,   99,   84,   71,   58,   45,   33,   27,   25,   24,   24,   24,   22
Micronesia,954,Subregion,1835,   104,   94,   83,   72,   63,   57,   53,   48,   42,   37,   33,   31,   29,   25
Guam,316,Country/Area,954,   82,   71,   60,   50,   41,   34,   29,   24,   21,   17,   14,   11,   10,   9
Kiribati,296,Country/Area,954,   147,   134,   121,   105,   93,   88,   86,   78,   66,   58,   52,   51,   48,   43
Micronesia (Fed. States of),583,Country/Area,954,   95,   86,   76,   65,   56,   48,   45,   44,   43,   43,   40,   35,   30,   23
Polynesia,957,Subregion,1835,   96,   81,   72,   64,   56,   45,   32,   24,   21,   17,   16,   15,   13,   12
French Polynesia,258,Country/Area,957,   130,   100,   89,   80,   71,   59,   35,   20,   18,   10,   9,   9,   7,   7
Samoa,882,Country/Area,957,   94,   85,   78,   69,   59,   47,   35,   27,   23,   20,   17,   17,   15,   13
Tonga,776,Country/Area,957,   80,   69,   59,   46,   34,   27,   23,   20,   17,   16,   14,   14,   15,   13
EUROPE AND NORTHERN AMERICA,1829,SDG region,1828,   61,   44,   34,   28,   23,   20,   16,   14,   11,   9,   8,   7,   5,   5
EUROPE,917,SDG subregion,1829,   72,   50,   37,   30,   25,   22,   18,   16,   13,   10,   8,   6,   5,   4
Eastern Europe,923,Subregion,917,   89,   57,   40,   32,   28,   27,   24,   21,   19,   17,   14,   10,   8,   6
Belarus,112,Country/Area,923,   95,   57,   38,   26,   21,   22,   20,   16,   15,   15,   10,   6,   3,   3
Bulgaria,100,Country/Area,923,   90,   62,   36,   30,   25,   22,   17,   14,   15,   15,   13,   10,   8,   6
Czechia,203,Country/Area,923,   42,   23,   20,   22,   20,   17,   14,   11,   9,   5,   4,   3,   3,   2
Hungary,348,Country/Area,923,   72,   55,   43,   37,   35,   26,   20,   17,   13,   10,   7,   6,   5,   4
Poland,616,Country/Area,923,   79,   59,   50,   36,   32,   27,   24,   20,   16,   10,   7,   6,   4,   3
Republic of Moldova,498,Country/Area,923,   81,   69,   59,   49,   46,   46,   36,   31,   29,   24,   19,   16,   14,   12
Romania,642,Country/Area,923,   91,   80,   54,   51,   39,   31,   26,   26,   23,   20,   17,   12,   8,   7
Russian Federation,643,Country/Area,923,   100,   59,   40,   31,   26,   29,   26,   24,   22,   21,   16,   11,   8,   6
Slovakia,703,Country/Area,923,   74,   38,   27,   25,   25,   22,   18,   14,   12,   9,   7,   6,   5,   5
Ukraine,804,Country/Area,923,   79,   46,   31,   23,   21,   23,   20,   18,   17,   17,   15,   13,   9,   7
Northern Europe,924,Subregion,917,   34,   26,   22,   18,   16,   13,   11,   9,   7,   6,   5,   4,   4,   3
Channel Islands,830,Country/Area,924,   32,   28,   27,   25,   23,   21,   18,   16,   14,   10,   9,   8,   7,   6
Denmark,208,Country/Area,924,   28,   23,   20,   16,   12,   9,   8,   8,   6,   5,   5,   4,   4,   3
Estonia,233,Country/Area,924,   85,   50,   33,   24,   21,   22,   20,   18,   16,   12,   7,   5,   3,   2
Finland,246,Country/Area,924,   33,   25,   19,   15,   12,   9,   6,   6,   5,   4,   3,   3,   2,   2
Iceland,352,Country/Area,924,   22,   18,   17,   13,   12,   9,   6,   6,   5,   4,   3,   2,   2,   1
Ireland,372,Country/Area,924,   41,   33,   28,   22,   18,   15,   10,   8,   7,   6,   5,   4,   3,   3
Latvia,428,Country/Area,924,   77,   45,   30,   22,   20,   23,   18,   15,   18,   16,   10,   8,   5,   3
Lithuania,440,Country/Area,924,   107,   64,   43,   27,   22,   22,   18,   15,   16,   11,   8,   6,   4,   4
Norway,578,Country/Area,924,   22,   19,   17,   14,   11,   9,   8,   8,   6,   4,   3,   3,   2,   2
Sweden,752,Country/Area,924,   19,   17,   15,   12,   10,   8,   7,   6,   5,   4,   3,   3,   2,   2
United Kingdom,826,Country/Area,924,   28,   24,   22,   19,   17,   14,   11,   9,   7,   6,   5,   5,   4,   4
Southern Europe,925,Subregion,917,   77,   63,   52,   41,   30,   22,   17,   13,   10,   8,   5,   4,   4,   3
Albania,8,Country/Area,925,   145,   125,   99,   77,   58,   47,   43,   38,   31,   26,   21,   17,   9,   8
Bosnia and Herzegovina,70,Country/Area,925,   189,   136,   98,   73,   49,   34,   26,   18,   18,   11,   10,   9,   7,   6
Croatia,191,Country/Area,925,   96,   71,   50,   35,   25,   22,   18,   14,   10,   7,   7,   6,   4,   4
Greece,300,Country/Area,925,   46,   41,   38,   34,   25,   21,   15,   12,   8,   7,   5,   3,   3,   3
Italy,380,Country/Area,925,   59,   48,   40,   32,   26,   17,   12,   9,   7,   5,   4,   3,   3,   3
Malta,470,Country/Area,925,   68,   40,   32,   27,   21,   15,   12,   10,   9,   7,   6,   6,   5,   5
Montenegro,499,Country/Area,925,   120,   104,   72,   50,   33,   29,   26,   21,   18,   12,   12,   11,   4,   3
North Macedonia,807,Country/Area,925,   136,   113,   95,   82,   69,   62,   52,   40,   27,   18,   13,   11,   9,   11
Portugal,620,Country/Area,925,   92,   88,   77,   61,   45,   30,   20,   14,   9,   6,   5,   3,   3,   3
Serbia,688,Country/Area,925,   117,   103,   88,   69,   51,   40,   35,   22,   17,   16,   10,   7,   6,   5
Slovenia,705,Country/Area,925,   23,   19,   17,   17,   16,   14,   13,   10,   7,   5,   4,   3,   2,   2
Spain,724,Country/Area,925,   63,   51,   42,   33,   23,   15,   11,   8,   7,   5,   4,   3,   3,   2
Western Europe,926,Subregion,917,   43,   34,   27,   21,   18,   13,   10,   8,   6,   5,   4,   4,   3,   3
Austria,40,Country/Area,926,   53,   42,   32,   26,   24,   16,   12,   9,   7,   5,   4,   4,   3,   3
Belgium,56,Country/Area,926,   45,   35,   27,   22,   18,   14,   11,   9,   8,   5,   4,   4,   3,   3
France,250,Country/Area,926,   44,   33,   25,   20,   16,   12,   9,   8,   7,   5,   4,   4,   3,   3
Germany,276,Country/Area,926,   46,   39,   30,   23,   21,   16,   11,   8,   6,   5,   4,   4,   3,   3
Luxembourg,442,Country/Area,926,   44,   37,   29,   21,   18,   13,   12,   9,   7,   5,   5,   2,   3,   3
Netherlands,528,Country/Area,926,   23,   18,   16,   13,   11,   9,   8,   7,   6,   5,   5,   4,   3,   3
Switzerland,756,Country/Area,926,   29,   24,   21,   17,   14,   10,   8,   7,   6,   5,   5,   4,   4,   3
NORTHERN AMERICA,918,SDG subregion,1829,   31,   28,   25,   22,   18,   14,   11,   10,   8,   7,   7,   7,   6,   6
Canada,124,Country/Area,918,   38,   32,   26,   21,   16,   12,   9,   7,   6,   5,   5,   5,   5,   5
United States of America,840,Country/Area,918,   30,   27,   25,   22,   18,   14,   11,   10,   9,   7,   7,   7,   6,   6
