region,country_code,type,parent_code,1950-1955,1955-1960,1960-1965,1965-1970,1970-1975,1975-1980,1980-1985,1985-1990,1990-1995,1995-2000,2000-2005,2005-2010,2010-2015,2015-2020
Slovenia,705,Country/Area,925,65.61,67.89,69.15,69.19,69.82,70.98,71.23,72.68,73.74,75.26,76.65,78.55,80.14,81.08
Spain,724,Country/Area,925,64.59,67.74,69.91,71.38,72.66,74.41,76.11,76.86,77.63,78.78,79.91,81.22,82.51,83.36
Western Europe,926,Subregion,917,67.81,69.4,70.51,71.15,71.85,73.03,74.24,75.55,76.58,77.78,78.99,80.23,81.09,81.72
Austria,40,Country/Area,926,66.54,68.02,69.66,70.14,70.8,72.14,73.28,75,76.15,77.53,78.92,80.13,80.99,81.35
Belgium,56,Country/Area,926,67.81,69.46,70.3,70.71,71.5,72.66,73.91,75.27,76.4,77.39,78.38,79.57,80.52,81.39
France,250,Country/Area,926,67.27,69.39,70.75,71.46,72.43,73.66,74.77,76.13,77.35,78.45,79.6,80.95,81.94,82.46
Germany,276,Country/Area,926,67.52,68.91,69.98,70.67,71.15,72.3,73.65,74.99,75.98,77.31,78.62,79.73,80.45,81.1
Luxembourg,442,Country/Area,926,65.98,67.54,69.12,69.78,70.25,71.44,72.88,74.5,75.77,76.99,78.32,79.51,81.15,82
Netherlands,528,Country/Area,926,71.93,72.94,73.46,73.64,74.11,75.17,76.14,76.72,77.26,77.84,78.67,80.18,81.31,82.06
Switzerland,756,Country/Area,926,69.34,70.71,71.59,72.58,73.71,75.19,76.09,77.23,77.93,79.23,80.49,81.78,82.69,83.56
NORTHERN AMERICA,918,SDG subregion,1829,68.71,69.7,70.2,70.51,71.56,73.35,74.51,75.07,75.85,76.68,77.42,78.44,79.23,79.15
Canada,124,Country/Area,918,69.05,70.32,71.35,72.15,73.01,74.31,75.86,76.83,77.75,78.58,79.69,80.76,81.79,82.22
United States of America,840,Country/Area,918,68.71,69.66,70.11,70.36,71.43,73.25,74.37,74.89,75.65,76.47,77.18,78.19,78.94,78.81
