region,country_code,type,parent_code,1950-1955,1955-1960,1960-1965,1965-1970,1970-1975,1975-1980,1980-1985,1985-1990,1990-1995,1995-2000,2000-2005,2005-2010,2010-2015,2015-2020
Antigua and Barbuda,28,Country/Area,915,57.37,60.45,63.3,65.24,66.36,67.67,69.33,70.88,72.11,73.34,74.5,75.46,76.14,76.82
Aruba,533,Country/Area,915,60.44,64.38,66.58,68.22,70.04,71.55,72.87,73.32,73.56,73.69,73.97,74.67,75.37,76.08
Bahamas,44,Country/Area,915,63.1,64.28,65.08,65.53,66.29,67.26,67.8,69.31,70.97,71.72,72,72.01,72.47,73.73
Barbados,52,Country/Area,915,55.6,62.15,66.07,68.05,69.22,71.13,73.19,74.28,75.17,76.56,77.63,78.11,78.6,79.02
Cuba,192,Country/Area,915,59.4,62.35,65.35,68.48,70.97,73.09,74.23,74.64,74.78,76.17,77.16,78.11,78.46,78.69
Curaçao,531,Country/Area,915,60.65,64.34,66.48,68.16,69.91,72.15,73.66,74.44,74.54,74.58,75,76.12,77.77,78.63
Dominican Republic,214,Country/Area,915,45.99,49.78,53.33,56.56,59.5,61.87,63.77,65.61,67.46,68.78,70.08,71.45,72.62,73.81
Grenada,308,Country/Area,915,58.57,61.07,63.26,64.93,66.24,67.47,68.21,68.85,70.49,72.11,72.96,73.08,72.6,72.39
Guadeloupe,312,Country/Area,915,53.34,57.19,60.52,63.64,66.2,68.64,70.82,72.8,74.59,76.27,77.85,79.39,80.56,81.84
Haiti,332,Country/Area,915,37.48,40.62,42.75,44.94,47.21,50.07,51.77,53.47,55.03,56.57,57.74,59.65,61.41,63.52
Jamaica,388,Country/Area,915,59.55,63.63,65.53,67.22,68.6,70.18,71.32,72.37,73.91,74.13,74.12,74.15,73.98,74.33
Martinique,474,Country/Area,915,55.57,58.88,61.86,64.65,67.26,69.7,71.88,73.86,75.68,77.37,78.94,80.11,81.2,82.27
Puerto Rico,630,Country/Area,915,63.53,67.91,69.13,70.75,72.35,73.54,73.92,74.59,73.85,74.89,76.79,77.94,79.14,79.85
Saint Lucia,662,Country/Area,915,50.43,54.57,58.82,62.44,64.71,67.2,68.93,70.39,71.71,72.87,73.71,74.51,75.2,75.99
Saint Vincent and the Grenadines,670,Country/Area,915,53.47,57.45,60.76,62.83,64.52,66.44,68.67,70.18,70.74,70.7,71.01,71.64,71.89,72.36
Trinidad and Tobago,780,Country/Area,915,58.05,60.94,63.22,64.35,65.04,66.12,66.91,67.75,68.38,68.9,70.05,71.34,72.48,73.31
United States Virgin Islands,850,Country/Area,915,62.9,65.5,66.83,68.3,69.79,71.15,72.3,73.6,74.82,76.08,77.09,77.82,79.41,80.32
Central America,916,Subregion,1830,49.11,53.23,56.44,58.59,61.01,63.55,65.89,68.3,70.52,72.23,74.01,74.4,74.59,74.91
Belize,84,Country/Area,916,55.92,58.64,61.35,64.26,66.72,68.66,70.35,71.46,70.57,68.59,69.58,70.69,73.4,74.37
Costa Rica,188,Country/Area,916,56,58.75,61.99,64.61,67.18,70.52,73.45,75.11,76.08,77.04,77.81,78.42,79.16,80
El Salvador,222,Country/Area,916,44.62,48.13,51.59,53.94,55.76,56.22,57.16,61.57,66.08,68.02,69.57,70.62,71.82,72.99
Guatemala,320,Country/Area,916,42.92,45.46,48.01,50.93,53.97,56.19,58.4,60.98,63.6,66.55,68.94,70.5,72.44,73.94
Honduras,340,Country/Area,916,41.79,44.59,48,51.05,54.09,57.71,61.59,65.45,67.73,69.88,71.36,72.66,73.94,74.99
Mexico,484,Country/Area,916,50.69,55.26,58.46,60.29,62.57,65.3,67.72,69.83,71.81,73.34,75.11,75.18,74.94,74.98
Nicaragua,558,Country/Area,916,42.31,45.42,48.6,51.84,55.06,57.4,59.4,62.38,66.1,68.35,70.53,71.73,73.1,74.15
Panama,591,Country/Area,916,56.81,59.51,62.15,64.36,66.74,69.22,70.99,72.37,73.54,74.6,75.49,76.31,77.29,78.24
South America,931,Subregion,1830,52.13,54.46,56.75,58.88,61.13,63.11,65.03,66.81,68.59,70.32,71.9,73.4,74.68,75.63
Argentina,32,Country/Area,931,62.57,64.58,65.3,65.83,67.27,68.71,70.2,71.05,72.16,73.12,74.02,74.87,75.68,76.45
Bolivia (Plurinational State of),68,Country/Area,931,39.64,41.04,42.67,44.54,46.67,49.07,51.71,54.59,57.66,60.89,63.94,66.62,69.26,71.08
Brazil,76,Country/Area,931,50.83,52.95,55.38,57.8,59.94,61.77,63.5,65.35,67.34,69.25,70.96,72.8,74.34,75.56
Chile,152,Country/Area,931,54.58,56.31,58.25,60.76,63.89,67.33,70.53,72.68,74.22,75.66,77.02,78.19,79.29,79.96
Colombia,170,Country/Area,931,51.83,55.74,58.55,60.94,63.35,65.67,68.03,69.39,70.19,72.13,73.65,74.83,75.99,77.02
Ecuador,218,Country/Area,931,48.59,51.52,54.39,56.91,59.51,62.09,64.96,67.69,69.98,71.87,73.53,74.59,75.59,76.7
French Guiana,254,Country/Area,931,53.32,56.14,59.53,64.37,65.73,66.54,69.2,71.06,72.75,74.24,76.29,78.04,79.31,79.73
Guyana,328,Country/Area,931,58.83,59.81,60.69,61.55,61.96,62.31,62.68,62.98,63.69,64.56,66,67.37,68.69,69.71
Paraguay,600,Country/Area,931,62.73,63.3,64.47,65.04,65.73,66.56,67.45,68.02,69.11,69.94,71.17,72.13,73.16,74.08
Peru,604,Country/Area,931,44.11,46.44,49.64,52.22,56.15,58.84,61.67,64.62,67.63,70.03,72.06,73.66,75.11,76.41
Suriname,740,Country/Area,931,55.98,58.68,60.51,62.12,63.63,64.77,66.32,67.15,67.62,67.82,68.06,69.82,70.93,71.49
Uruguay,858,Country/Area,931,66.11,67.11,68.34,68.55,68.77,69.59,70.98,72.12,73.03,74.23,75.23,76.38,77.05,77.7
Venezuela (Bolivarian Republic of),862,Country/Area,931,55.47,58.4,61.18,63.6,66.15,67.84,69.14,70.21,71.03,71.62,72.57,72.99,73.07,72.13
AUSTRALIA/NEW ZEALAND,927,SDG region,1828,69.45,70.47,70.93,70.92,71.76,73.41,74.85,75.88,77.46,78.63,80.12,81.28,82.19,83.01
Australia,36,Country/Area,927,69.39,70.43,70.88,70.84,71.76,73.59,75.09,76.19,77.69,78.84,80.34,81.48,82.36,83.2
New Zealand,554,Country/Area,927,69.77,70.69,71.18,71.27,71.78,72.63,73.77,74.45,76.35,77.57,79.07,80.32,81.32,82.06
OCEANIA (EXCLUDING AUSTRALIA AND NEW ZEALAND),1835,SDG region,1828,38.26,42.08,45.13,48.51,51.71,54.72,57.26,58.76,60.15,61.33,62.39,63.71,64.99,66.29
Melanesia,928,Subregion,1835,36.56,40.35,43.47,46.97,50.34,53.55,56.17,57.67,59.07,60.29,61.35,62.72,64.07,65.39
Fiji,242,Country/Area,928,55.47,59.58,61.54,62.48,62.51,63.47,64.51,65.39,65.24,65.22,66.19,66.38,66.95,67.27
New Caledonia,540,Country/Area,928,50.74,54.6,58.03,61.04,63.69,66.02,68.07,69.88,71.45,72.87,74.11,75.18,76.33,77.28
Papua New Guinea,598,Country/Area,928,34.05,37.46,40.44,44.07,47.74,51.16,54.03,55.63,57.32,58.74,59.8,61.32,62.73,64.15
Solomon Islands,90,Country/Area,928,41.94,46.07,50.16,54.14,58.14,61.33,63.21,64.06,64.79,66.49,68.38,69.89,71.43,72.77
Vanuatu,548,Country/Area,928,45.04,47.7,50.28,53.12,55.77,58.52,61.35,63.79,65.48,66.76,67.9,68.74,69.49,70.25
Micronesia,954,Subregion,1835,51.51,53.58,55.76,57.91,59.96,61.74,63.29,64.79,66.31,67.9,69.49,70.62,71.82,73.14
